review_timestamp,review_text_original,review_text_cleaned,user_rating,subjectivity_1,polarity_1,subjectivity_2,polarity_2
02-01-2023 23:26:27,"bought this to replace my old airpod pro case, and after waiting for the case to fully charge tried syncing it to my phone and the light on case never flashed. i followed the directions multiple times and continued to hold down the button but never got the light to flash. this case is absolutely junk and i do not recommend buying again.",bought replace old airpod pro case waiting case fully charge tried syncing phone light case never flashed followed direction multiple time continued hold button never got light flash case absolutely junk not recommend buying,1,1,0,1,0
06-01-2023 12:17:25,shouldn't be recommended for year olds. looks too baby … too small…,not recommended year old look baby small…,3,1,0,1,0
07-01-2023 21:44:34,"i didn't want to deal with a case, but just got sick of dropping my earbuds and having them scatter across the floor. this case certainly stops that issue and so for that i am very happy. putting this case together is not intuitive and took a minute to assemble, but once it is together it works just fine. (it does not come with assembly directions.)the case is bulky, so it is not ideal if you are used to keeping the earpods case in your pants pockets. but overall it works well for the use i intended it for and i would recommend.",not want deal case got sick dropping earbuds scatter across floor case certainly stop issue happy putting case together not intuitive took minute assemble together work fine not come assembly direction case bulky not ideal used keeping earpods case pant pocket overall work well use intended would recommend,4,1,1,1,1
09-01-2023 21:40:26,the quality at this price point is great. sound is excellent,quality price point great sound excellent,5,1,1,1,1
09-01-2023 19:33:02,works as advertised on my apple i-phone and pad.,work advertised apple i-phone pad,4,1,1,1,1
06-01-2023 17:02:11,it will not read any kind of disk. i just ordered another ribbon and if that isn't the case i will ask for a refund. (it will take and eject disks but not read them/ but that's what the broken one did.),not read kind disk ordered another ribbon not case ask refund take eject disk not read broken one,1,1,0,1,0
07-01-2023 00:03:25,these headphones aren't very reliable.....they have a constant static sound when you use them.....if you must use them then fine i guess but why waste money on a defective product?,headphone not reliable constant static sound use must use fine guess waste money defective product,2,1,0,1,0
08-01-2023 23:04:56,easy to install and no drop of the signal anymore in the garage!,easy install no drop signal anymore garage,5,1,1,1,1
01-01-2023 23:07:35,"these are very poor quality. even though these are supposedly leather, the finish looks and feels like plastic. these are not nice to look at, but they do work as intended.",poor quality even though supposedly leather finish look feel like plastic not nice look work intended,1,1,0,1,0
06-01-2023 23:33:39,"tessan may not be a brand you've heard of but i can assure you this product is well-made and works perfectly. years ago, i purchased a lower-quality plug adapter which worked, but felt cheap and had a rubberized coating that is now weirdly sticky. the build quality of the tessan is superior and the prongs for europe (in this case italy) protrude farther, making a better connection. see my photos for three different applications -- all in italy. the photos show a hotel room, train armrest, and delta airlines flight (premium select on a boeing -er layout as shown on seatguru). i realize that the adapter wasn't necessary on the plane & train due to the plane's universal receptacle, but i wanted you to see the photo anyway to illustrate what it would look like if needed. it's important to note that when you move the slider that corresponds to the country you're adapting to, you have to:. push the slider knob in. then slide it across to make the prongs extend. then keep pressing until it moves to the very end of the slot. then slide it even a little more until you feel the spring-loaded knob lock into place and ""snap out"" a littleif you don't lock the knob, the adapter's prongs will retract back into the body when you try to plug it into the wall and you'll think it's a piece of junk. i promise you it's not junk if you use it correctly. it has universal international receptacles to accept all plug types from your home country. it also has four usb-a ports on the bottom for charging phones, tablets, etc. it's great because you don't need to rely on the little while cube for your iphone (or whatever samsungs come with). just plug the usb cable right into this adapter. important: keep in mind this is not a voltage converter. it only *adapts* the shape of the plug's prongs for devices that can run on - volts -- such as most laptop chargers, phone/tablet chargers, etc. don't try to plug a u. s. hair dryer into this adapter in europe (or anywhere with - volts). you'll destroy the device and possibly cause a fire. for that application, you'd need a voltage converter.",tessan may not brand heard assure product well-made work perfectly year ago purchased lower-quality plug adapter worked felt cheap rubberized coating weirdly sticky build quality tessan superior prong europe case italy protrude farther making better connection see photo three different application italy photo show hotel room train armrest delta airline flight premium select boeing er layout shown seatguru realize adapter not necessary plane train due plane universal receptacle wanted see photo anyway illustrate would look like needed important note move slider corresponds country adapting push slider knob slide across make prong extend keep pressing move end slot slide even little feel spring-loaded knob lock place snap littleif not lock knob adapter prong retract back body try plug wall think piece junk promise not junk use correctly universal international receptacle accept plug type home country also four usb-a port bottom charging phone tablet etc great not need rely little cube iphone whatever samsungs come plug usb cable right adapter important keep mind not voltage converter adapts shape plug prong device run volt laptop charger phone/tablet charger etc not try plug hair dryer adapter europe anywhere volt destroy device possibly fire application would need voltage converter,5,1,1,1,1
