original_text,sarcasm_score,performance_sentiment,price_sentiment,quality_sentiment,features_sentiment
I literally wore out my previous mouse.  This one is comfortable and works like a charm.,0.44443991780281067,1.0,0.0,0.0,0.0
Very easy to set up. The clock/alarm feature is great.,0.44391244649887085,0.0,0.0,0.0,1.0
Very nice backdrop. Light weight easy to keep up on wall.,0.44386377930641174,0.0,0.0,0.0,0.0
I was looking for a way to add a little more room on my desk.  This monitor stand is perfect for my two monitors and the space it created under the stand created more room on my desk.  I purchased a second one for my daughter. The stand is even better than I expected.,0.44606685638427734,0.0,0.0,0.0,0.0
"I paid for the 2 year worry free warrantly. Bought this on sale at Christmas and paid $69 for it. The screen is broken, and they want to refund me and have me buy a new one for $149.99 WHAT WAS THE WARRANTY FOR THEN?! Customer support literally GHOSTED me. I'm SO MAD. I never argue or stand up for myself, but this is ridiculous and unacceptable. All I wanted was the screen repaired! Thats literally what i bought the warranty for.",0.4435192346572876,0.0,0.0,0.0,0.0
I love watching my pictures on this frame and it is motion activated so it comes on when someone passes by it,0.450022429227829,0.0,0.0,0.0,0.0
It’s actually really sticky. I was worried it was going to get pulled off randomly. But I don’t think that will be the case. Excited to see how it does long term.,0.44545307755470276,0.0,0.0,0.0,0.0
"Paired this stand with my New 43"" TV, as the stands that came with the TV almost barely fit on the dresser where it is perched. The stand took only about 15 minutes to fully assemble and attach and has been sitting perfectly in the small space since. The swivel is great for the weird angle that the tv is sitting on, so that's a nice feature to have for this inexpensive stand.",0.44969600439071655,0.0,0.5,0.0,0.5
Liked it very much.,0.44207271933555603,0.0,0.0,0.0,0.0
"It’s like a cheap toy version of an AirPod case.<br /><br />The button and light aren’t the same as what I ordered, and it doesn’t charge my phone (it seems pretty obvious that there’s no battery in this case). Pathetic.",0.4421059191226959,0.0,-0.5,0.0,0.0
"The product is overall good. It works fine even with my old Iphone 6S. The only problem I faces was the Netflix content wasn't able to play on the screen connected over HDMI. Even trailor was playing fine but when I clicked the play button I got the error ""Cannot play title. Please try again later. (CM:12035;)"". This seems to be related to the HDCP compliance issue. I think this is not a problem with this connector.",0.4499564468860626,0.5,0.0,0.0,0.0
"They're small and easily applied, and the really do make a difference that i can feel with my Logitech  g604.",0.4454103410243988,0.0,0.0,0.0,0.0
"I bought these wireless cameras in hopes it would be super easy to set up, luckily these where exactly what I was looking for. I love this set together. The image quality is spectacular and the battery life if amazing. I would recommend to everyone!",0.44684892892837524,0.0,0.0,0.5,0.0
